year, commodity, cropname, countycode, county, acres, yield, production, price_per, unit, value
2002,268099,ALMOND HULLS ,7,Butte ,  ,  ,39350,70,TON ,2755000
2002,268099,ALMOND HULLS ,11,Colusa ,  ,  ,16190,60,TON ,971000
2002,268099,ALMOND HULLS ,19,Fresno ,  ,  ,168000,85,TON ,14280000
2002,268099,ALMOND HULLS ,21,Glenn ,  ,  ,  ,  ,  ,1761000
2002,268099,ALMOND HULLS ,29,Kern ,  ,  ,230000,66,TON ,15136000
2002,268099,ALMOND HULLS ,31,Kings ,  ,  ,5542,79,TON ,438000
2002,268099,ALMOND HULLS ,39,Madera ,  ,  ,104530,77,TON ,8049000
2002,268099,ALMOND HULLS ,47,Merced ,  ,  ,149669,76,TON ,11333000
2002,268099,ALMOND HULLS ,77,San Joaquin ,  ,  ,102100,70,TON ,7146000
2002,268099,ALMOND HULLS ,95,Solano ,  ,  ,992,40,TON ,39700
2002,268099,ALMOND HULLS ,99,Stanislaus ,  ,  ,99100,70,TON ,6937000
2002,268099,ALMOND HULLS ,101,Sutter ,  ,  ,709,60,TON ,42500
2002,268099,ALMOND HULLS ,107,Tulare ,  ,  ,39600,85,TON ,3366000
2002,268099,ALMOND HULLS ,115,Yuba ,  ,  ,794,50,TON ,40000
2002,268099,ALMOND HULLS ,999, State Totals,0,  ,956576,74,    ,72294200
2002,261999,ALMONDS ALL ,7,Butte ,36605,0.86,31480,2089,TON ,65762000
2002,261999,ALMONDS ALL ,11,Colusa ,21950,0.59,12951,2100,TON ,27197000
2002,261999,ALMONDS ALL ,19,Fresno ,63450,1.24,78700,2300,TON ,181010000
2002,261999,ALMONDS ALL ,21,Glenn ,27380,0.75,20450,2285,TON ,46728000
2002,261999,ALMONDS ALL ,29,Kern ,94067,1.15,108000,2082,TON ,224862000
2002,261999,ALMONDS ALL ,31,Kings ,7676,0.83,6344,2002,TON ,12698000
2002,261999,ALMONDS ALL ,39,Madera ,52900,1.04,55016,2093,TON ,115148000
2002,261999,ALMONDS ALL ,47,Merced ,83535,0.95,79189,2240,TON ,177383000
2002,261999,ALMONDS ALL ,77,San Joaquin ,43900,0.93,40800,2202,TON ,89840000
2002,261999,ALMONDS ALL ,95,Solano ,1714,0.46,794,1936,TON ,1537400
2002,261999,ALMONDS ALL ,99,Stanislaus ,90100,1.14,102700,2100,TON ,215670000
2002,261999,ALMONDS ALL ,101,Sutter ,4575,0.62,2837,1880,TON ,5332700
2002,261999,ALMONDS ALL ,103,Tehama ,7205,0.65,4683,2020,TON ,9459700
2002,261999,ALMONDS ALL ,107,Tulare ,15595,1.03,16100,2020,TON ,32522000
2002,261999,ALMONDS ALL ,113,Yolo ,5854,0.56,3278,2042,TON ,6694000
2002,261999,ALMONDS ALL ,115,Yuba ,1024,0.62,635,1550,TON ,984000
2002,261999,ALMONDS ALL ,999, State Totals,557530,1.01,563957,2151,    ,1212827800
2002,333999,ANISE (FENNEL) ,53,Monterey ,595,12.27,7300,451,TON ,3290000
2002,333999,ANISE (FENNEL) ,999, State Totals,595,12.27,7300,451,    ,3290000
2002,484999,APIARY PRODUCTS BEES NUCLEI ,89,Shasta ,  ,  ,7275,33,EACH ,240100
2002,484999,APIARY PRODUCTS BEES NUCLEI ,999, State Totals,0,  ,7275,33,    ,240100
2002,483999,APIARY PRODUCTS BEES PCKG. ,11,Colusa ,  ,  ,6000,6.50,LBS ,39000
2002,483999,APIARY PRODUCTS BEES PCKG. ,21,Glenn ,  ,  ,116000,5.72,LBS ,663000
2002,483999,APIARY PRODUCTS BEES PCKG. ,47,Merced ,  ,  ,88300,6.53,LBS ,577000
2002,483999,APIARY PRODUCTS BEES PCKG. ,89,Shasta ,  ,  ,19500,6.64,LBS ,129500
2002,483999,APIARY PRODUCTS BEES PCKG. ,95,Solano ,  ,  ,  ,  ,  ,83700
2002,483999,APIARY PRODUCTS BEES PCKG. ,99,Stanislaus ,  ,  ,1900,5.16,LBS ,9800
2002,483999,APIARY PRODUCTS BEES PCKG. ,101,Sutter ,  ,  ,7227,8.00,LBS ,57800
2002,483999,APIARY PRODUCTS BEES PCKG. ,999, State Totals,0,  ,238927,6.18,    ,1559800
2002,485999,APIARY PRODUCTS BEES QUEEN ,11,Colusa ,  ,  ,24000,8.00,EACH ,192000
2002,485999,APIARY PRODUCTS BEES QUEEN ,21,Glenn ,  ,  ,104000,7.88,EACH ,819000
2002,485999,APIARY PRODUCTS BEES QUEEN ,47,Merced ,  ,  ,39250,6.52,EACH ,256000
2002,485999,APIARY PRODUCTS BEES QUEEN ,65,Riverside ,  ,  ,1200,1.50,EACH ,1800
2002,485999,APIARY PRODUCTS BEES QUEEN ,89,Shasta ,  ,  ,124400,7.85,EACH ,976600
2002,485999,APIARY PRODUCTS BEES QUEEN ,95,Solano ,  ,  ,16000,8.00,EACH ,128000
2002,485999,APIARY PRODUCTS BEES QUEEN ,99,Stanislaus ,  ,  ,3850,6.26,EACH ,24100
2002,485999,APIARY PRODUCTS BEES QUEEN ,101,Sutter ,  ,  ,45100,8.80,EACH ,396900
2002,485999,APIARY PRODUCTS BEES QUEEN ,999, State Totals,0,  ,357800,7.81,    ,2794400
2002,489999,APIARY PRODUCTS BEES UNSPEC ,7,Butte ,  ,  ,  ,  ,  ,540000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,9,Calaveras ,  ,  ,  ,  ,  ,257000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,17,El Dorado ,  ,  ,,,,180000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,29,Kern ,  ,  ,,,,210000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,37,Los Angeles ,  ,  ,,,,2000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,43,Mariposa ,  ,  ,,,,42000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,59,Orange ,  ,  ,,,,15200
2002,489999,APIARY PRODUCTS BEES UNSPEC ,61,Placer ,  ,  ,,,,150000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,67,Sacramento ,  ,  ,,,,55000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,73,San Diego ,  ,  ,,,,169000
2002,489999,APIARY PRODUCTS BEES UNSPEC ,97,Sonoma ,  ,  ,,,,104700
2002,489999,APIARY PRODUCTS BEES UNSPEC ,103,Tehama ,  ,  ,,,,2325200
