Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2004 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,33608 ,77.99 ,  ,2621000
2004 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,24240 ,75.00 ,TON ,1818000
2004 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,173000 ,91.00 ,TON ,15743000
2004 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,24131 ,72.52 ,TONS ,1750000
2004 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,321000 ,74.09 ,TON ,23782000
2004 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,6811 ,94.99 ,TON ,647000
2004 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,102163 ,82.00 ,TONS ,8377000
2004 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,134615 ,83.76 ,TONS ,11276000
2004 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,95400 ,80.99 ,TON ,7726000
2004 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,1030 ,74.95 ,TONS ,77200
2004 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,137500 ,80.59 ,TONS ,11081000
2004 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,966 ,77.95 ,TONS ,75300
2004 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,39800 ,84.60 ,TON ,3367000
2004 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,758 ,72.56 ,TON ,55000
2004 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,586 ,2.88 ,1688 ,91.00 ,TONS ,153608
2004 ,268099 ,ALMOND HULLS , 999, State Totals,586 ,2.88 ,1096710 ,80.74 ,    ,88549108
2004 ,261999 ,ALMONDS ALL ,7 ,Butte ,40129 ,0.67 ,26886 ,4045.00 ,  ,108754000
2004 ,261999 ,ALMONDS ALL ,11 ,Colusa ,23360 ,0.83 ,19389 ,3999.95 ,TON ,77555000
2004 ,261999 ,ALMONDS ALL ,19 ,Fresno ,82700 ,1.04 ,86000 ,4337.00 ,TON ,372982000
2004 ,261999 ,ALMONDS ALL ,21 ,Glenn ,28337 ,0.68 ,19269 ,4040.01 ,TONS ,77847000
2004 ,261999 ,ALMONDS ALL ,29 ,Kern ,89800 ,1.16 ,104100 ,4024.22 ,TON ,418921000
2004 ,261999 ,ALMONDS ALL ,31 ,Kings ,9434 ,0.66 ,6226 ,3485.06 ,TON ,21698000
2004 ,261999 ,ALMONDS ALL ,39 ,Madera ,56600 ,0.95 ,53770 ,4235.00 ,TONS ,227716000
2004 ,261999 ,ALMONDS ALL ,47 ,Merced ,86370 ,0.80 ,68681 ,4600.03 ,TONS ,315935000
2004 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,42900 ,0.89 ,38200 ,4503.40 ,TON ,172030000
2004 ,261999 ,ALMONDS ALL ,95 ,Solano ,1997 ,0.41 ,824 ,3868.57 ,TONS ,3187700
2004 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,96200 ,1.04 ,100000 ,4168.00 ,TONS ,416800000
2004 ,261999 ,ALMONDS ALL ,101 ,Sutter ,4246 ,0.91 ,3864 ,3883.80 ,TONS ,15007000
2004 ,261999 ,ALMONDS ALL ,103 ,Tehama ,6536 ,0.66 ,4314 ,4028.00 ,TON ,17376800
2004 ,261999 ,ALMONDS ALL ,107 ,Tulare ,17381 ,1.17 ,20300 ,4300.00 ,TON ,87290000
2004 ,261999 ,ALMONDS ALL ,113 ,Yolo ,6818 ,0.70 ,4773 ,4045.46 ,TONS ,19309000
2004 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1010 ,0.50 ,505 ,4300.99 ,TON ,2172000
2004 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,83290 ,2.02 ,167917 ,100.61 ,TONS ,16893511
2004 ,261999 ,ALMONDS ALL , 999, State Totals,677108 ,1.07 ,725018 ,3270.92 ,    ,2371474011
2004 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,534 ,14.23 ,7600 ,525.00 ,TON ,3990000
2004 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,279 ,0.82 ,230 ,8855.08 ,TONS ,2036668
2004 ,333999 ,ANISE (FENNEL) , 999, State Totals,813 ,9.63 ,7830 ,769.69 ,    ,6026668
2004 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,89 ,Shasta ,  ,  ,7640 ,41.94 ,EACH ,320400
2004 ,484999 ,APIARY PRODUCTS BEES NUCLEI , 999, State Totals,0 ,  ,7640 ,41.94 ,    ,320400
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. ,11 ,Colusa ,  ,  ,5000 ,8.00 ,LBS ,40000
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. ,21 ,Glenn ,  ,  ,117000 ,10.00 ,LBS ,1170000
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. ,47 ,Merced ,  ,  ,75000 ,8.59 ,LBS ,644000
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. ,89 ,Shasta ,  ,  ,29600 ,7.28 ,LBS ,215500
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. ,101 ,Sutter ,  ,  ,8740 ,22.00 ,PKG ,192300
2004 ,483999 ,APIARY PRODUCTS BEES PCKG. , 999, State Totals,0 ,  ,235340 ,9.61 ,    ,2261800
2004 ,485999 ,APIARY PRODUCTS BEES QUEEN ,11 ,Colusa ,  ,  ,22500 ,9.02 ,EACH ,203000
2004 ,485999 ,APIARY PRODUCTS BEES QUEEN ,21 ,Glenn ,  ,  ,133000 ,10.00 ,EACH ,1330000
2004 ,485999 ,APIARY PRODUCTS BEES QUEEN ,47 ,Merced ,  ,  ,26500 ,6.11 ,EACH ,162000
2004 ,485999 ,APIARY PRODUCTS BEES QUEEN ,65 ,Riverside ,  ,  ,3100 ,1.52 ,  ,4700
