SITE_ID,SJV_REGION,EQ_AREA_CELL,LAT_DD,LONG_DD,COUNTY,SAMPLE_DATE,TDS,TDS_TYPE,CONDUCTIVITY,CA,MG,NA,K,CL,SO4,NO3-N,SIO2,HCO3,WELL_DEPTH_M,DTW_M,DTW_SOURCE,DBWT_M,TRIT_DATE,TRIT_2016_TU,TRIT_CAT,PCT_AG,PCT_NAT,PCT_URB,TDS_ION_MOD
373900120420001,NESJV-D,14,37.66297222,-120.6784722,CALAVERAS,3/28/2006,69,CALC,105,na,na,na,na,na,na,na,na,na,86.87,11.32,MODEL,75.54,3/28/2006,4.906,Mod,na,na,na,TDS
373100120350001,NESJV-D,13,37.517,-120.5882778,MERCED,4/6/2006,76,CALC,115,na,na,na,na,na,na,na,na,na,102.41,25.19,MODEL,77.22,4/6/2006,0.315,Mod,na,na,na,TDS
373100120260001,NESJV-D,16,37.5225,-120.4344444,STANISLAUS,3/23/2006,109,CALC,164,na,na,na,na,na,na,na,na,na,103.02,25.91,MODEL,77.11,3/23/2006,2.328,Mod,na,na,na,TDS
374400120480001,NESJV-D,15,37.74591667,-120.8018611,STANISLAUS,5/3/2006,115,CALC,174,na,na,na,na,na,na,na,na,na,184.71,25.4,MODEL,159.31,5/3/2006,1.008,Mod,na,na,na,TDS
365042119493001,NESJV-D,21,36.844889,-119.824806,FRESNO,4/16/2008,129,LAB,na,13.57,5.46,11.65,2.86,3.99,2.73,0.42,43.56,94.33,143.26,25.31,MODEL,117.95,4/16/2008,2.612,Mod,na,na,na,ION
374157120594303,NESJV-D,8,37.699222,-120.995444,STANISLAUS,11/12/2003,137,LAB,na,12,3.95,18.1,4.83,4.45,0.17,1.45,63.65,95.18,107.29,12.25,MEASURED,95.04,11/12/2003,0.01,PreMod,na,na,na,ION
380918121081301,NESJV-D,5,38.15461111,-121.1381944,SAN JOAQUIN,1/10/2005,142,CALC,214,na,na,na,na,na,na,na,na,na,163.07,31.42,MODEL,131.65,1/10/2005,0,PreMod,na,na,na,TDS
365300119480001,NESJV-D,22,36.897806,-119.811389,MADERA,4/30/2008,144,LAB,na,8.41,3.59,19.69,3.21,9.06,1.91,0.87,48.17,83.68,137.16,17.65,MODEL,119.51,4/30/2008,0.092,PreMod,na,na,na,ION
373200120300001,NESJV-D,16,37.54116667,-120.5161944,MERCED,5/2/2006,147,CALC,222,na,na,na,na,na,na,na,na,na,na,na,na,na,5/2/2006,0.628,Mod,na,na,na,TDS
380738120555602,NESJV-D,6,38.127344,-120.932264,CALAVERAS,6/29/2010,154,LAB,na,1.71,0.56,20.04,2.81,8.59,3,2.01,100.91,39.14,111.25,42.27,MEASURED,68.98,6/29/2010,0,PreMod,na,na,na,ION
365900120230001,NESJV-D,20,36.988611,-120.384444,MADERA,5/21/2008,162,LAB,na,15.56,1,38.94,1.33,29.92,5.7,3.1,16.29,79.67,118.26,12.52,MODEL,105.74,5/21/2008,0.221,Mod,na,na,na,ION
374221120585903,NESJV-D,8,37.705972,-120.98325,STANISLAUS,11/17/2003,173,LAB,na,15.91,5.33,17.58,5.39,5.81,5.69,1.78,62.41,106.03,103.33,13.46,MEASURED,89.87,na,na,na,na,na,na,ION
374208120594801,NESJV-D,8,37.702306,-120.99675,STANISLAUS,10/17/2002,173,LAB,na,14.86,4.79,18.02,4.94,6.3,2.62,1.68,64.02,91.99,117.35,14.71,MEASURED,102.64,na,na,na,na,na,na,ION
370039120053102,NESJV-D,23,37.01078,-120.092942,MADERA,8/13/2015,173,LAB,na,16.29,5.37,21.01,2.65,19.24,3.34,3.1,71.86,68.22,103.63,28.55,MEASURED,75.08,8/13/2015,0.025,PreMod,na,na,na,ION
374526120475501,NESJV-D,15,37.757111,-120.799278,STANISLAUS,3/20/2006,173,LAB,na,22.79,9.31,14.21,2.66,6.65,7.59,4.39,32.75,119.49,85.34,27.39,MODEL,57.95,3/20/2006,6.253,Mod,na,na,na,ION
365747120034901,NESJV-D,23,36.96300227,-120.0646067,MADERA,3/15/2011,174,LAB,na,17.28,5.31,20.62,3.24,16.89,4.32,1.15,60.78,96.14,158.5,24.81,MODEL,133.68,3/15/2011,0.979,Mod,na,na,na,ION
